0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,20,20,21,0,0,0,0,0,0,0,0,0,9,9,9,0,0
0,0,26,21,20,21,0,0,9,9,9,0,0,0,0,15,21,21,0,0
0,0,0,26,27,22,0,0,20,14,15,0,15,20,15,20,20,20,0,0
0,0,0,0,0,22,16,16,20,21,20,15,15,27,27,15,20,15,0,0
0,0,0,0,0,0,0,0,14,20,15,27,14,0,0,27,27,27,0,0
0,0,0,0,0,0,0,0,27,26,27,0,21,0,0,0,0,0,0,0
0,0,0,0,0,9,9,9,9,0,0,0,15,0,0,0,0,0,0,0
0,0,0,0,0,20,14,20,20,0,21,20,15,0,0,0,0,0,0,0
0,0,0,0,0,15,21,21,15,21,21,27,27,0,8,9,9,0,0,0
0,0,0,0,0,21,20,20,14,27,27,0,0,0,21,21,14,0,0,0
0,9,9,0,0,26,22,27,26,0,0,0,0,0,20,21,20,0,0,0
0,20,21,0,0,0,22,16,16,16,16,0,0,0,26,26,26,0,0,0
0,20,20,16,16,16,22,0,0,0,22,0,0,0,0,0,0,0,0,0
0,27,27,0,0,0,0,0,0,0,22,16,16,16,16,16,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
